,Image,Accuracy,F1,Jaccard,Recall,Precision
0,p_00355abf,0.9904469593049839,0.9902661237344913,0.9807199174073283,0.9839672516677391,0.9966461599058439
1,p_008e4310,0.9897513717421125,0.9830277456745882,0.9666219914000111,0.9695258223939089,0.996911044216799
2,p_01653554,0.8443026620370371,0.89011896342472,0.8019949292685709,0.8033774684713908,0.997858809632457
3,p_0167e97d,0.9698514448514448,0.9742480840331168,0.9497891925600564,0.9505118740072018,0.9992001388169186
4,p_01b4c4ae,0.9939106081390032,0.985051465388544,0.9705432657879967,0.9736390288822382,0.9967346150679058
5,p_03957f0c,0.9896598508230453,0.9895489767017763,0.9793141417896528,0.9976085489461236,0.9816185856522849
6,p_047ff224,0.9910614390432099,0.9851571928155528,0.9707485591278383,0.9785925083324716,0.991810547769386
7,p_04c3542e,0.9937607167352538,0.9848163593166057,0.9700869082697727,0.9774189123080388,0.9923266331526238
8,p_04e20660,0.9927400548696845,0.981209725616431,0.9631125760501822,0.9924350108178148,0.9702355353888191
9,p_0644cc81,0.9898050983081847,0.9696083693272335,0.9410095544876989,0.94304928128014,0.9977067758811731
10,p_064c4fc4,0.9969133514537517,0.9944993988113222,0.9890589798112996,0.9968465784395222,0.9921632465782846
11,p_06f9fcb1,0.9513289960714854,0.9326875289029936,0.8738654837831674,0.8932793721979838,0.9757332430913995
12,p_07141906,0.9949399862825788,0.9898279962772741,0.9798608480828224,0.9924964573324577,0.9871738457836295
13,p_0791cd0d,0.9922711779104614,0.9743851216109662,0.9500497137302301,0.9683939658810055,0.9804508696978944
14,p_0846ec6f,0.9665757326195868,0.95559504823586,0.9149660259861194,0.9550994061451071,0.9560912050136303
15,p_0865636e,0.9969736630616978,0.9879391834699097,0.9761658265331495,0.9952478405560625,0.9807370868988572
16,p_086ad409,0.9932735339506172,0.9896773696978847,0.9795656753743534,0.984800036527044,0.9946032544101437
17,p_08c6f749,0.9543359375,0.9504136256354155,0.9055125417484505,0.9113299107393927,0.992999876346104
18,p_0913b718,0.9959556470050297,0.9907812007368786,0.9817308213643018,0.9939486300116583,0.9876338947127822
19,p_092377d3,0.9872550702742298,0.9570466717969192,0.9176313511994142,0.9227127519124707,0.9940344551282051
20,p_094cb88b,0.9922414384736806,0.9846801187104468,0.9698225523367168,0.9719868908012663,0.9977092563435979
21,p_0a2741f1,0.9913152955180149,0.9946985702628078,0.9894530544165682,0.9913490810139345,0.9980707702057378
22,p_0adf30f8,0.94794045781893,0.9550270266667185,0.9139250976227155,0.9146183947619848,0.9991712781030289
23,p_0af8e77e,0.9971165689772341,0.9823063916571916,0.9652280250209682,0.992841384306365,0.9719926242085853
24,p_0be67476,0.985297550154321,0.9761144238731974,0.9533432706081122,0.9554796148908463,0.9976601762314904
25,p_0bf671ac,0.9816727752057613,0.9852888487641351,0.9710042582700555,0.9712191539913476,0.9997721807366157
26,p_0c8d77ec,0.9979945130315501,0.9955112893222723,0.9910626956181534,0.998306618964636,0.9927315702135217
27,p_0cad17be,0.9949170524691358,0.9862035865439155,0.9727826745627324,0.9887921606369483,0.9836285303973193
28,p_0ceedec5,0.9962235286028602,0.9883903423712871,0.977047159363965,0.9875119231567944,0.9892703257335882
29,p_0d9e1681,0.9834266337219777,0.9717620411756516,0.9450750508050982,0.9848601682203532,0.9590077379818928
30,p_0de2c8bd,0.9968951566951567,0.9952490603183627,0.9905430500355785,0.9955641531945773,0.994934166830821
31,p_0eabf5cb,0.9699397604159509,0.9789101713749446,0.9586915312760411,0.9827723059797208,0.9750782730625416
32,p_0ebda07a,0.9876457475994513,0.9838679658495696,0.9682481535700859,0.9879713617233554,0.9797985147114362
33,p_0f013d02,0.965736739826246,0.9476873510498396,0.9005758431159216,0.9251380904837682,0.9713633021647469
34,p_0ff9eb03,0.993036694101509,0.9650883894465666,0.9325321888412017,0.9616135774409813,0.9685884051468769
35,p_10e752d1,0.9881495208146152,0.9914223429156989,0.9829905867455,0.9844867793204893,0.99845631985562
36,p_117df2f2,0.9921239140374943,0.9872265716971232,0.974775348669482,0.9794656734262197,0.9951114408355399
37,p_11f990a6,0.9972646604938271,0.9852777297110227,0.9709826605366911,0.9791173719253838,0.9915160971260605
38,p_127746a6,0.9945167824074074,0.991953530043693,0.9840355178136663,0.9894425353727302,0.9944773018810094
39,p_12aa0ad4,0.98684670781893,0.985473012426183,0.9713620480248487,0.974133218852412,0.9970799264744391
40,p_12d8e49a,0.9868232381687243,0.980038006609351,0.9608573779807431,0.9867205863603226,0.973445333703156
41,p_138b411f,0.9841855472791227,0.9857437132561667,0.9718881964447039,0.9871741886676146,0.9843173775377165
42,p_13fd3065,0.9947097825820526,0.988336258388423,0.976941465564444,0.9799567573939766,0.9968602996887554
43,p_1610c501,0.9843415637860082,0.9508717062201197,0.9063445451406575,0.908764653458559,0.9970703492264067
44,p_162185f3,0.9862927597736626,0.9825731466639235,0.9657432801602691,0.9751890100350096,0.9900699619437778
45,p_163ba3d7,0.9908321984565676,0.984844555439925,0.9701416277846144,0.9800435325978331,0.989692848207394
46,p_1657179c,0.9806129972565157,0.9871080991558379,0.9745443697724945,0.9768448204658342,0.9975893312929458
47,p_1717a48a,0.9753445305770887,0.9621269198399077,0.9270178967273139,0.9282999063856344,0.9985124609997788
48,p_1825ac2b,0.9956770833333334,0.9947939695846404,0.9896418639406522,0.9973417965232189,0.9922591269234393
49,p_186ef845,0.9966042493386243,0.9947612483300085,0.9895770996466491,0.9916194665700415,0.9979230017955159
50,p_18793bbb,0.9957561728395061,0.9951533437324909,0.9903534410205196,0.9968288891231029,0.9934834216566264
51,p_18816dc9,0.9880690586419754,0.9868283047698148,0.9739990856590349,0.9771157759338724,0.9967358571735857
52,p_18bdd287,0.9697704325772801,0.9763237128750674,0.9537426285580394,0.9856068495392243,0.9672138147147058
53,p_1980809f,0.9609812242798353,0.9662212336079855,0.9346499125535233,0.9347999125394891,0.9998283479352791
54,p_1ba36197,0.9874759945130316,0.9852585208198501,0.97094535015547,0.9774424949809919,0.993200554481015
55,p_1bafadcc,0.9920786425191711,0.9919581176114947,0.9840445470986772,0.986749285818739,0.9972222337861297
56,p_1c052701,0.9964502621148191,0.9962163350068228,0.9924611943287543,0.9975549121246791,0.994881345436027
57,p_1d77b4e9,0.9950696915776986,0.9906624292661466,0.9814976257604986,0.9943094981584947,0.9870420170679766
58,p_1d9b055c,0.9975954503886603,0.9975565629256194,0.9951250375153103,0.9980603014958573,0.9970533325902808
59,p_1dfee663,0.9949399862825788,0.989276512862007,0.9787805719873829,0.9943193439365754,0.9842845745386004
60,p_1e21958a,0.9872229085169172,0.9905368307934855,0.9812510857350982,0.9837343857928067,0.9974340075887861
61,p_1e64623b,0.735190329218107,0.7341950800006196,0.5800222991714861,0.5807930537452484,0.9977172545307976
62,p_201f5b98,0.9731270784930072,0.9710007331085462,0.9436359814345467,0.9476574935138616,0.9955230237293603
63,p_20a01024,0.9429157021604938,0.9424204894915083,0.8911107676796668,0.8967126024158618,0.9930383633234203
64,p_21254839,0.9913175582990398,0.9798584250462609,0.9605121966435836,0.9645016194002268,0.995712165356495
65,p_22105fbb,0.9687574462574463,0.9788432658304997,0.958563199043667,0.9617040524880562,0.9966044642857143
66,p_22380a88,0.99764545328911,0.9917681472191074,0.9836707147107332,0.9949107359237418,0.9886453487672036
67,p_22bb8ec2,0.9633644066161002,0.9671147631013852,0.936323541621415,0.9395146055086325,0.9963856228107361
68,p_244157c7,0.9813931623931624,0.9854362502012523,0.9712906166780813,0.9781955792612741,0.9927849123882219
69,p_245f9531,0.9982761589860164,0.9985434880139685,0.9970912127114876,0.9993980617588636,0.9976903744927401
70,p_256d45f3,0.9885685311945424,0.9879002846848342,0.9760898750744178,0.9857372881252792,0.9900727946164989
71,p_26089b9d,0.9977449500148697,0.9949885803689107,0.9900271389295677,0.9989332598354465,0.9910749325872568
72,p_26eaeae5,0.9932978966620942,0.9904611605072847,0.9811025804663276,0.9927271778514845,0.9882054645092591
73,p_27b0305c,0.9862900805898491,0.9790561602032664,0.9589716123838831,0.9640700994165905,0.9945154815417184
74,p_29f71492,0.9851268861454047,0.9798203669898365,0.960439059245633,0.9621314229233963,0.9981719215364075
75,p_2ba83b99,0.9925979968295143,0.9812348437911491,0.9631609775923591,0.9908414547914041,0.9718127240764808
76,p_2ceeca48,0.9810919281550069,0.9807142088081636,0.9621582261648407,0.9629792216964171,0.9991146953883981
77,p_2d8d5fd8,0.9933213305898491,0.9832333937419019,0.9670197542781179,0.9838305350481983,0.9826369768722467
78,p_2dac7786,0.980501223892206,0.9870465002298606,0.9744242953441026,0.9777785137852101,0.9964918633169191
79,p_2dffb5f7,0.9961671239140375,0.9894598859542686,0.9791396424560846,0.9943108230195283,0.9846560515531642
80,p_2fd0b3e6,0.9919787379972566,0.9870479853959898,0.9744271901980007,0.9832458114528632,0.9908796792137475
81,p_2fe586c7,0.986605548688367,0.9868377544891996,0.9740174970610666,0.9748691739347815,0.9991038671491589
82,p_302e79c4,0.9887263695987655,0.9822415174891844,0.9651027570568504,0.9680377330238826,0.9968683263046713
83,p_3060c342,0.9897762345679012,0.9865247004782742,0.973407739629994,0.9788360010819553,0.9943351447392587
84,p_3076376f,0.9941218539821662,0.9936193583020192,0.987319625530127,0.9952698532976187,0.9919743284044793
85,p_30b23c7a,0.9896000514403293,0.9862739107558091,0.9729195304533894,0.977240773877595,0.9954756014828926
86,p_314314d6,0.9888826094898845,0.9830406927583105,0.9666470288025812,0.975046469364769,0.9911670860691074
87,p_32802067,0.9859212992621065,0.9822254873107129,0.9650718062445459,0.9845753337456987,0.979886830737692
88,p_33025725,0.9954766803840878,0.9906342308566235,0.9814422691363409,0.9929562428233865,0.988323053527406
89,p_34278778,0.9880418381344307,0.9901409910843874,0.9804744844011457,0.9821527732333667,0.9982602168315232
90,p_347de0d7,0.9942413842413842,0.9934987044227215,0.9870813965052082,0.9887768267582302,0.9982658968914295
91,p_352307a6,0.9604095936213992,0.9329108503523295,0.8742576481640322,0.9872719138023284,0.8842238108319683
92,p_356159e9,0.9914625301233008,0.9889870766407717,0.9782140799493712,0.9818985407365235,0.996178704103409
93,p_36b3915a,0.993142653385709,0.9903788033498265,0.9809409773049622,0.9841933249113656,0.9966425227628373
94,p_3720395a,0.9982098765432099,0.9950115950154176,0.9900727113669356,0.9934988518030826,0.9965289519859627
95,p_37c45e5c,0.9684910836762689,0.9778179614638987,0.9565986532734053,0.957614174792173,0.9988926431055318
96,p_381e20ac,0.991415597190767,0.9839465240641712,0.9684003326280776,0.9771534784917685,0.9908346795907378
97,p_388b8cd0,0.9949473672192538,0.9950974174340511,0.9902426709792496,0.9981476316464966,0.9920657885727034
