,Image,Accuracy,F1,Jaccard,Recall,Precision
0,p_00355abf,0.9796262002743484,0.9790704228660004,0.9589989797479391,0.9649358134539445,0.9936252824468237
1,p_008e4310,0.9534299268404207,0.9275111408060881,0.864821236001659,0.9732450088778773,0.8858825328846742
2,p_01653554,0.8664158950617284,0.9072792174232058,0.8302937327536771,0.8325911945976232,0.9966875922973283
3,p_0167e97d,0.9611823361823362,0.9667067136370117,0.9355588838089233,0.9392873899795928,0.9957750023971618
4,p_01b4c4ae,0.9947856652949245,0.9872368286674007,0.9747953486187586,0.9786455054044984,0.9959803307194192
5,p_03957f0c,0.9467406121399177,0.9436138108687854,0.8932470157005983,0.9081813833725356,0.9819232556558009
6,p_047ff224,0.9572067901234568,0.9329460340106034,0.8743194475131861,0.9820909532029305,0.8884852479968681
7,p_04c3542e,0.9723829732510288,0.9357827428269548,0.8793155124290505,0.9720014184360448,0.9021662618589443
8,p_04e20660,0.9700508687700046,0.9164022278274215,0.8457033147918575,0.8594402267102771,0.9814508522766106
9,p_0644cc81,0.9768992912665753,0.9341082680535063,0.8763631802900572,0.9495122913193489,0.919196067610406
10,p_064c4fc4,0.9759506355874036,0.9578301507561882,0.9190729816748969,0.9757461176868697,0.940560242231136
11,p_06f9fcb1,0.8491881826645775,0.8068277671450428,0.676203941835379,0.8343492404383666,0.7810639391230281
12,p_07141906,0.9340980795610425,0.8750162595280835,0.7778034722182074,0.9300038018871185,0.8261681209970094
13,p_0791cd0d,0.9832852927046873,0.9442534896407548,0.8943941375846444,0.9325456627885949,0.9562590306055432
14,p_0846ec6f,0.9145900533022213,0.8868984372337485,0.7967812344361921,0.8893197247915433,0.8844902984116434
15,p_0865636e,0.9927028082018783,0.9707138611534758,0.9430942713765796,0.9710583810392986,0.9703695856440113
16,p_086ad409,0.9147164351851852,0.8778952950290617,0.7823648641164895,0.9363398429042535,0.8263180949088125
17,p_08c6f749,0.8717684220679013,0.8603523477155695,0.7549283728097785,0.8225995645432123,0.9017371076535561
18,p_0913b718,0.9949708504801097,0.9885927418257058,0.977442799461642,0.996648874157644,0.980665804168285
19,p_092377d3,0.9735121091425171,0.9063354972398051,0.8287143771717852,0.8328256964666243,0.9940783486849406
20,p_094cb88b,0.9812475693729554,0.9637890268238839,0.9301088791501116,0.9728340839167076,0.954910615613217
21,p_0a2741f1,0.8023731859176852,0.8652942326017907,0.7625714590187039,0.7723187303815484,0.9837191502419911
